id,puzzle_path,weight_mode,include_filled_edges,algorithm,solved,solve_time_ms,decision_count,fiedler_value,trace_laplacian,created_at_utc
123,/home/blake/m508/custompuzzles/Custom-0007.txt,overlap,0,AC3Solver,1,9.486469,47,0.0,48.44444444444444,2026-02-16T18:02:58.759Z
124,/home/blake/m508/custompuzzles/Custom-0007.txt,inv_overlap,0,BacktrackingSolver,1,0.442819,167,0.0,194000280.99974215,2026-02-16T18:02:58.770Z
125,/home/blake/m508/custompuzzles/Custom-0007.txt,inv_overlap,0,ForwardCheckingSolver,1,0.553457,47,0.0,194000280.99974215,2026-02-16T18:02:58.771Z
126,/home/blake/m508/custompuzzles/Custom-0007.txt,inv_overlap,0,AC3Solver,1,9.32607,47,0.0,194000280.99974215,2026-02-16T18:02:58.781Z
127,/home/blake/m508/custompuzzles/Custom-0008.txt,binary,1,BacktrackingSolver,1,0.495747,158,8.999999999999975,1620.0,2026-02-16T18:02:58.792Z
128,/home/blake/m508/custompuzzles/Custom-0008.txt,binary,1,ForwardCheckingSolver,1,0.599771,46,8.999999999999975,1620.0,2026-02-16T18:02:58.793Z
129,/home/blake/m508/custompuzzles/Custom-0008.txt,binary,1,AC3Solver,1,9.708616,46,8.999999999999975,1620.0,2026-02-16T18:02:58.803Z
130,/home/blake/m508/custompuzzles/Custom-0008.txt,overlap,1,BacktrackingSolver,1,0.452812,158,0.0,47.33333333333333,2026-02-16T18:02:58.814Z
131,/home/blake/m508/custompuzzles/Custom-0008.txt,overlap,1,ForwardCheckingSolver,1,0.754127,46,0.0,47.33333333333333,2026-02-16T18:02:58.815Z
132,/home/blake/m508/custompuzzles/Custom-0008.txt,overlap,1,AC3Solver,1,8.864351,46,0.0,47.33333333333333,2026-02-16T18:02:58.824Z
133,/home/blake/m508/custompuzzles/Custom-0008.txt,inv_overlap,1,BacktrackingSolver,1,0.45008,158,6254994.466914193,1300000269.6664212,2026-02-16T18:02:58.836Z
134,/home/blake/m508/custompuzzles/Custom-0008.txt,inv_overlap,1,ForwardCheckingSolver,1,0.884685,46,6254994.466914193,1300000269.6664212,2026-02-16T18:02:58.837Z
135,/home/blake/m508/custompuzzles/Custom-0008.txt,inv_overlap,1,AC3Solver,1,8.938749,46,6254994.466914193,1300000269.6664212,2026-02-16T18:02:58.847Z
136,/home/blake/m508/custompuzzles/Custom-0008.txt,binary,0,BacktrackingSolver,1,0.460696,158,0.0,500.0,2026-02-16T18:02:58.857Z
137,/home/blake/m508/custompuzzles/Custom-0008.txt,binary,0,ForwardCheckingSolver,1,0.528128,46,0.0,500.0,2026-02-16T18:02:58.858Z
138,/home/blake/m508/custompuzzles/Custom-0008.txt,binary,0,AC3Solver,1,8.971551,46,0.0,500.0,2026-02-16T18:02:58.867Z
139,/home/blake/m508/custompuzzles/Custom-0008.txt,overlap,0,BacktrackingSolver,1,0.422652,158,0.0,47.33333333333333,2026-02-16T18:02:58.877Z
140,/home/blake/m508/custompuzzles/Custom-0008.txt,overlap,0,ForwardCheckingSolver,1,0.559308,46,0.0,47.33333333333333,2026-02-16T18:02:58.878Z
141,/home/blake/m508/custompuzzles/Custom-0008.txt,overlap,0,AC3Solver,1,9.30979,46,0.0,47.33333333333333,2026-02-16T18:02:58.888Z
142,/home/blake/m508/custompuzzles/Custom-0008.txt,inv_overlap,0,BacktrackingSolver,1,0.470056,158,0.0,180000269.6664213,2026-02-16T18:02:58.898Z
143,/home/blake/m508/custompuzzles/Custom-0008.txt,inv_overlap,0,ForwardCheckingSolver,1,0.575304,46,0.0,180000269.6664213,2026-02-16T18:02:58.899Z
144,/home/blake/m508/custompuzzles/Custom-0008.txt,inv_overlap,0,AC3Solver,1,9.236322,46,0.0,180000269.6664213,2026-02-16T18:02:58.908Z
